hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
1,13,2,1,dSocdt_h11_day_minus1,687,-6.8362999,dSocdt,1
1,14,0,0,dSocdt_h0_day_minus1,676,-2.93930006,dSocdt,1
1,14,1,1,dSocdt_h22_day_minus1,698,0.0,dSocdt,1
1,14,2,1,dSocdt_h22_day_minus2,646,-5.12410021,dSocdt,2
1,15,0,0,dSocdt_h0_day_minus1,676,-4.07569981,dSocdt,1
1,15,1,1,dSocdt_h5_day_minus1,681,-1.99950004,dSocdt,1
1,15,2,1,dSocdt_h23_day_minus1,699,-1.25010002,dSocdt,1
1,16,0,0,dSocdt_h3_day_minus1,679,-1.3585,dSocdt,1
1,16,1,1,dSocdt_h13_day_minus1,689,-10.4870005,dSocdt,1
1,16,2,1,dSocdt_h0_day_minus1,676,-5.91200018,dSocdt,1
1,17,0,0,dSocdt_h3_day_minus1,679,-0.959699988,dSocdt,1
1,17,1,1,Soc_h23_day_minus1,723,30.2779007,Soc,1
1,17,2,1,dSocdt_h0_day_minus2,624,-2.77839994,dSocdt,2
1,18,0,0,dSocdt_h5_day_minus2,629,-0.855599999,dSocdt,2
1,18,1,1,Soc_h8_day_minus1,708,9.14050007,Soc,1
1,18,2,1,dSocdt_h20_day_minus1,696,-9.25689983,dSocdt,1
1,19,0,0,dSocdt_h3_day_minus1,679,-1.3585,dSocdt,1
1,19,1,1,dSocdt_h13_day_minus1,689,-10.4870005,dSocdt,1
1,19,2,1,dSocdt_h0_day_minus1,676,-8.00469971,dSocdt,1
1,20,0,0,dSocdt_h3_day_minus1,679,-1.3585,dSocdt,1
1,20,1,1,dSocdt_h23_day_minus2,647,-18.5624008,dSocdt,2
1,20,2,1,dSocdt_h1_day_minus2,625,-1.65779996,dSocdt,2
1,21,0,0,dSocdt_h5_day_minus2,629,-0.855599999,dSocdt,2
1,21,1,1,Soc_h23_day_minus1,723,30.2779007,Soc,1
1,21,2,1,dSocdt_h3_day_minus3,575,-9.70909977,dSocdt,3
1,22,0,0,dSocdt_h6_day_minus1,682,-0.781599998,dSocdt,1
1,22,1,1,Soc_h17_day_minus1,717,9.30010033,Soc,1
1,22,2,1,dSocdt_h13_day_minus1,689,-8.98579979,dSocdt,1
1,23,0,0,dSocdt_h0_day_minus1,676,-4.07569981,dSocdt,1
1,23,1,1,dSocdt_h8_day_minus1,684,-1.48619998,dSocdt,1
1,23,2,1,dSocdt_h23_day_minus1,699,-1.25010002,dSocdt,1
1,24,0,0,dSocdt_h19_day_minus1,695,-8.3362999,dSocdt,1
1,24,1,1,Soc_h23_day_minus1,723,52.5474014,Soc,1
1,24,2,1,dSocdt_h0_day_minus1,676,-5.90390015,dSocdt,1
2,0,0,0,dSocdt_h6_day_minus1,682,-0.371899992,dSocdt,1
2,0,1,1,dSocdt_h2_day_minus1,678,-5.3519001,dSocdt,1
2,0,2,1,day_day_minus1,725,27.0,Date,1
2,1,0,0,dSocdt_h6_day_minus1,682,-0.371899992,dSocdt,1
2,1,1,1,dSocdt_h2_day_minus1,678,-3.55360007,dSocdt,1
2,1,2,1,dSocdt_h22_day_minus1,698,-4.23670006,dSocdt,1
2,2,0,0,dSocdt_h6_day_minus1,682,-0.371899992,dSocdt,1
2,2,1,1,dSocdt_h2_day_minus1,678,-8.77470016,dSocdt,1
